"ID";"Слой";"Раздел";"Вес категории";"Критерий";"Что проверять";"Как понять, что есть проблема";"Оценка 0-3";"Вес критерия 1-5";"Критичность";"Тип вывода";"Рекомендация";"Пример хорошего решения";"Пример плохого решения"
"FR-06";"conversion";"Формы и снижение трения";"8";"Понятные ошибки заполнения";"Проверить, как форма сообщает об ошибках.";"Ошибка не объясняет, что исправить, или появляется незаметно.";"";"3";"Medium";"Факт";"Сделать ошибки конкретными и видимыми.";"Введите телефон в формате +7...";"Ошибка отправки."
"FR-07";"conversion";"Формы и снижение трения";"8";"Сообщение об успехе";"Проверить состояние после успешной отправки.";"После отправки непонятно, ушла ли заявка.";"";"4";"High";"Факт";"Добавить экран или сообщение успешной отправки.";"Заявка отправлена. Мы свяжемся до 18:00.";"Форма просто очищается."
"FR-08";"conversion";"Формы и снижение трения";"8";"Альтернативные способы связи";"Проверить телефон, мессенджеры, email для ниш, где это важно.";"Нет удобного канала связи для пользователя, который не хочет заполнять форму.";"";"3";"Medium";"Гипотеза";"Добавить альтернативный канал, не конкурирующий с главным CTA.";"Написать в Telegram / WhatsApp.";"Только длинная форма."
"ST-01";"conversion";"Структура страницы";"7";"Логика принятия решения";"Проверить последовательность блоков от оффера к доверию и CTA.";"Блоки идут случайно и не ведут к заявке.";"";"5";"Critical";"Гипотеза";"Пересобрать структуру по логике: оффер, польза, доказательства, условия, CTA.";"Оффер -> выгоды -> кейсы -> процесс -> цена -> FAQ -> CTA.";"Отзывы, потом история компании, потом оффер."
"ST-02";"conversion";"Структура страницы";"7";"Важное не спрятано низко";"Проверить, где находятся цена, сроки, доказательства, CTA, условия.";"Ключевая информация появляется только после длинного скролла.";"";"4";"High";"Факт";"Поднять важные аргументы выше.";"Цена/диапазон и кейс до середины страницы.";"Тарифы только перед футером."
"ST-03";"conversion";"Структура страницы";"7";"Нет случайных блоков";"Определить блоки, которые не помогают заявке.";"На странице есть секции ради объёма, но без роли в продаже.";"";"3";"Medium";"Гипотеза";"Удалить или переписать блоки без конверсионной функции.";"Каждый блок закрывает вопрос или возражение.";"Большой блок 'о нас' без связи с выбором."
"ST-04";"conversion";"Структура страницы";"7";"Ответы на главные возражения";"Проверить наличие ответов на цену, сроки, риск, опыт, гарантии, процесс.";"Типичные сомнения клиента не закрыты.";"";"4";"High";"Гипотеза";"Добавить блок возражений или FAQ.";"Что входит, сколько длится, что получу, есть ли гарантия.";"Нет FAQ и условий."
"ST-05";"conversion";"Структура страницы";"7";"Процесс или этапы для сложной услуги";"Проверить, нужен ли пользователю понятный порядок работы.";"Сложная услуга продаётся без объяснения процесса.";"";"3";"Medium";"Гипотеза";"Добавить 3-5 этапов работы.";"Заявка -> бриф -> аудит -> отчёт -> внедрение.";"Просто оставьте заявку."
"ST-06";"conversion";"Структура страницы";"7";"Коммерческая конкретика";"Проверить цену, диапазон, сроки, состав услуги, условия.";"Пользователь не может оценить предложение до заявки.";"";"4";"High";"Гипотеза";"Добавить цену, вилку или объяснение расчёта.";"От 15 000 руб., срок 2 дня, 8 блоков анализа.";"Цена обсуждается индивидуально без пояснения."
"ST-07";"conversion";"Структура страницы";"7";"Финальное логическое завершение";"Проверить, подводит ли финал к следующему действию.";"Страница заканчивается техническим футером или слабым CTA.";"";"3";"Medium";"Факт";"Сделать финальный блок с повтором главной ценности и CTA.";"Получите план правок для роста заявок.";"Контакты и копирайт."
"TE-01";"conversion";"Скорость и технические барьеры";"5";"Заметная скорость открытия";"Проверить субъективную задержку и базовые показатели загрузки.";"Страница долго показывает пустой экран или грузит ключевой контент.";"";"4";"High";"Факт";"Оптимизировать тяжелые ресурсы и порядок загрузки.";"Первый смысловой экран появляется быстро.";"Долгая загрузка прелоадера."
"TE-02";"conversion";"Скорость и технические барьеры";"5";"Критичные ошибки отображения";"Проверить desktop/mobile на сломанные блоки, обрезку, наложения.";"Ошибка мешает понять предложение или оставить заявку.";"";"5";"Critical";"Факт";"Исправить сломанные блоки до оценки маркетинга.";"Блоки отображаются корректно.";"Форма налезает на текст."
"TE-03";"conversion";"Скорость и технические барьеры";"5";"Тяжёлые изображения";"Проверить размер, формат и необходимость изображений.";"Изображения замедляют загрузку без пользы для решения пользователя.";"";"3";"Medium";"Факт";"Сжать изображения, заменить форматы, убрать лишнее.";"WebP/AVIF, адекватный размер.";"Фотографии по 5-10 МБ."
"TE-04";"conversion";"Скорость и технические барьеры";"5";"Скрипты и виджеты не мешают сценарию";"Проверить карты, чаты, квизы, анимации, попапы.";"Виджеты тормозят, перекрывают CTA или отвлекают от заявки.";"";"4";"High";"Факт";"Отключить лишние виджеты или отложить загрузку.";"Чат появляется после взаимодействия и не закрывает CTA.";"Попап появляется сразу и закрывает первый экран."
"TE-05";"conversion";"Скорость и технические барьеры";"5";"Работоспособность форм, кнопок и ссылок";"Прокликать ключевые CTA, форму, телефон, мессенджеры, email.";"Ключевой путь заявки не работает.";"";"5";"Critical";"Факт";"Починить все элементы заявки до запуска рекламы.";"Форма отправляется, телефон кликабелен, CTA ведёт куда нужно.";"Кнопка не реагирует или ведёт не туда."
"TE-06";"conversion";"Скорость и технические барьеры";"5";"Базовые Core Web Vitals или явные барьеры";"Проверить LCP, CLS, INP при наличии данных или явные UX-симптомы.";"Есть сдвиги контента, задержки кликов или медленный ключевой экран.";"";"3";"Medium";"Факт/гипотеза";"Зафиксировать технические барьеры и передать разработчику.";"Нет заметных сдвигов и задержек.";"Контент прыгает при загрузке, кнопки нажимаются с задержкой."
"AN-01";"limitation";"Аналитика и ограничения";"0";"Наличие Метрики и целей";"Проверить, переданы ли доступы или скриншоты целей.";"Выводы о причинах низкой конверсии делаются без данных.";"";"3";"Medium";"Ограничение";"Отделять экспертную гипотезу от подтверждённого вывода.";"Цели формы, звонков и мессенджеров настроены.";"Нет данных, но причина падения названа точно."
"AN-02";"limitation";"Аналитика и ограничения";"0";"Фиксация ограничений аудита";"Проверить, отмечены ли отсутствующие данные: реклама, CRM, конверсия, тепловые карты.";"Отчёт звучит категорично при неполных входных данных.";"";"3";"Medium";"Ограничение";"Добавить блок ограничений и уровень уверенности.";"Без рекламных данных релевантность оценивается как гипотеза.";"Категоричные выводы без оговорок."
"QR-01";"quality";"Quality Reviewer";"0";"У каждой проблемы есть место на странице";"Проверить все найденные проблемы перед выдачей отчёта.";"Проблема описана абстрактно без блока или элемента.";"";"5";"Critical";"Контроль качества";"Добавить location к каждой проблеме.";"Первый экран, форма заявки, блок тарифов.";"На сайте слабый оффер."
"QR-02";"quality";"Quality Reviewer";"0";"У каждой проблемы есть доказательство";"Проверить наличие evidence или пометки 'гипотеза'.";"Рекомендация выглядит как мнение без основания.";"";"5";"Critical";"Контроль качества";"Добавить доказательство из страницы или снизить уверенность.";"В H1 нет результата, только название услуги.";"Нужно улучшить дизайн."
"QR-03";"quality";"Quality Reviewer";"0";"Критичные проблемы выше косметических";"Проверить сортировку итогового списка проблем.";"Отчёт начинает с мелких визуальных замечаний, а не с потерь заявок.";"";"4";"High";"Контроль качества";"Сортировать по priority score и влиянию на заявку.";"Сначала оффер, CTA, форма, mobile.";"Сначала заменить иконки и цвета."
"QR-04";"quality";"Quality Reviewer";"0";"Нет обещания точного роста без теста";"Проверить формулировки прогноза и рекомендаций.";"Отчёт обещает конкретный рост конверсии без данных и A/B-теста.";"";"5";"Critical";"Контроль качества";"Заменить обещание роста на гипотезу влияния.";"Может снизить потери на этапе первого экрана.";"Гарантированно увеличит конверсию на 30%."
